skill_id,code,name,Skill Builder ID,prereq_id,prereq_code,prereq_name,prereq_remediation_problem_set_id-2
45,4.NBT.B.5,Multiplying Whole Numbers,26783,43,4.NBT.B.4,Adding Whole Numbers,11827
46,4.NBT.B.6,Divide whole numbers,,,,,
47,4.NF.A.1,Equivalent Fractions,39181,,,,
48,4.NF.A.2,Ordering Fractions,,47,4.NF.A.1,Equivalent Fractions,39181
49,4.NF.B.3a,Decompose fractions,,,,,
50,4.NF.B.3b,Multiple decomposition of fractions,,,,,
51,4.NF.B.3c,Adding Mixed Numbers - Like Denominators,38729,,,,
52,4.NF.B.3c,Subtracting Mixed Numbers - Like Denominators,38734,44,4.NBT.B.4,Subtracting Whole Numbers,11833
53,4.NF.B.3d,Word problems add/subt fractions like numerators,,,,,
54,4.NF.B.4a,Write fractions as product,,,,,
55,4.NF.B.4b,Multiply fraction by whole number,,,,,
56,4.NF.B.4c,Word problem multiply fraction by whole number,,,,,
57,4.NF.C.5,Equivalent fraction w/ multiples of 10,,,,,
58,4.NF.C.6,Converting from Decimals to Fractions,6876,,,,
59,4.NF.C.7,Compare decimals to hundredths,,,,,
34,4.OA.A.1,Verbal models multiplicative comparisons,,,,,
35,4.OA.A.2,Word problems multiplicative comparison,,,,,
1095,4.OA.A.3,Multi-step word problems interpret remainders,,,,,
36,4.OA.A.3,Multi-step word problems,,,,,
37,4.OA.B.4,Factors,,,,,
38,4.OA.B.4,Prime Number,,,,,
39,4.OA.C.5,Pattern Finding,32177,,,,
108,5.G.A.1,Plotting in Quadrant I,,,,,
109,5.G.A.2,Interpret points Quadrant I,,,,,
110,5.G.B.3,Categorize 2-dimensional figures,,,,,
111,5.G.B.4,Properties and Classification of Polygons with 5 or more sides,24173,69,4.G.A.1,Identifying Angles,9245
112,5.G.B.4,Properties and Classification of Quadrilaterals,23755,69,4.G.A.1,Identifying Angles,9245
98,5.MD.A.1,Unit Conversion Within a System - Metric,9053,77,5.NBT.A.2,Multiplying and Dividing by Powers of 10,37002
100,5.MD.A.1,Unit Conversion Within a System - Time,9051,44,4.NBT.B.4,Subtracting Whole Numbers,11833
99,5.MD.A.1,Unit Conversion Within a System - Standard,9052,82,5.NBT.B.6,Dividing Whole Numbers,26468
101,5.MD.B.2,Line Plot - 5th Grade Fractions,76046,64,4.MD.B.4,Line Plot - 4th Grade Fractions,78704
102,5.MD.C.3a,Unit cube,,,,,
103,5.MD.C.3b,Unit cubes to construct volume,,,,,
104,5.MD.C.4,Calculating Volume Using Unit Cubes,54623,,,,
105,5.MD.C.5a,Volume of rectangular prism without formula,,,,,
106,5.MD.C.5b,Volume of Rectangular Prisms,8884,104,5.MD.C.4,Calculating Volume Using Unit Cubes,54623
